,Date,Value,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TATACONSUM.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,Risk,Returns,SR
0,2023-02-28,0.32420543981706484,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.0,1318.0,0,0,132.0,0,0,0,0,0,0,0,92.0,0,0,691.0,0,0,0,38.0,0,0,0,0,0,5.80,30.31,5.22
1,2023-05-31,0.7323066168992659,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0.0,3,0,0,377,0,0,0,0.0,0,0,691.0,0,0,0,38.0,0,296,0,0,0,5.07,40.15,7.92
2,2023-08-31,0.3269888621937923,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,233.0,0,0,0.0,12,0,0,517,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,356,0,0,0,4.70,29.24,6.23
3,2023-11-30,1.1051799298330072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0.0,1971.0,0,0,0.0,0,0,0,0,0,0,0,78.0,0,0,0.0,0,0,0,121.0,0,0,0,0,0,5.19,24.19,4.66
4,2024-02-23,1.284410267516911,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,488,0,0,0,0.0,0,0,0.0,0,0,0,0.0,171,394,0,0,0,4.86,32.44,6.67
